object,split,label,image,mask,category
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
pcb,train,normal,10.JPG,,good
pcb,train,normal,07.JPG,,good
pcb,train,normal,05.JPG,,good
pcb,train,normal,12.JPG,,good
